M1,M2,M3,P1,T1,T1F,P2,P3,T2,TR,T2F,P4,T3
0.7,0.45,0.6,0,NA,192.800003,NA,NA,NA,NA,NA,NA,NA
0.5,0.5,0.8,0.4,10,34.333332,1,0,25,NA,NA,1,65.5
0.6,0.3,0.6,1,7.6,NA,0.833333,0.166667,28.4,1.348203,60,1,67.199997
0.8,0.45,0.8,1,6.6,NA,1,0,34.599998,NA,NA,1,55.200001
0.9,0.3,0.8,1,6.4,NA,0.666667,0.166667,30.6,2.781245,59,1,61.75
0.9,0.25,0.9,1,6.8,NA,0.833333,0.166667,29,1.454633,62,0.8,69
0.6,0.25,0.8,1,5.8,NA,0.8,0,26,NA,NA,0.5,60.25
0.7,0.5,0.6,0,NA,78.199997,NA,NA,NA,NA,NA,NA,NA
1,0.4,0.8,1,6.2,NA,1,0,34,NA,NA,1,57.599998
0.7,0.4,1,0,NA,390.799988,NA,NA,NA,NA,NA,NA,NA
1,0.35,0.6,1,5.8,NA,1,0,41.599998,NA,NA,1,55.400002
0.8,0.35,0.8,1,6.8,NA,0.6,0,31.799999,NA,NA,1,54.666668
0.9,0.5,1,1,4.6,NA,1,0,39,NA,NA,1,53.599998
0.6,0.3,0.9,1,5.5,NA,1,0,35,NA,NA,1,56
0.9,0.4,0.7,1,6.4,NA,1,0,31.799999,NA,NA,1,54.400002
1,0.45,0.8,1,5.8,NA,1,0,40.799999,NA,NA,1,55.799999
0.5,0.25,0.7,0.2,12,66.5,1,0,23,NA,NA,1,57
1,0.5,0.8,1,7,NA,1,0,33.599998,NA,NA,1,55.400002
0.6,0.45,1,1,8.8,NA,0.5,0.333333,31.5,1.10519,62,1,54
0.8,0.25,0.9,1,7.2,NA,0.8,0,29.4,NA,NA,0.5,73
0.5,0.5,0.7,0.333333,13,36,1,0,23,NA,NA,1,54
0.8,0.3,1,1,6.4,NA,0.8,0,32.400002,NA,NA,1,62.75
0.6,0.4,0.9,1,6.2,NA,1,0,36.200001,NA,NA,1,63.200001
0.7,0.4,0.6,0,NA,52,NA,NA,NA,NA,NA,NA,NA
0.6,0.5,1,1,5.8,NA,1,0,33.599998,NA,NA,1,52.200001
0.7,0.45,0.5,0,NA,53.200001,NA,NA,NA,NA,NA,NA,NA
0.9,0.25,0.8,1,6,NA,1,0,28.6,NA,NA,1,86.599998
0.5,0.4,0.8,0,NA,40,NA,NA,NA,NA,NA,NA,NA
0.8,0.4,0.5,1,5.2,NA,1,0,40.200001,NA,NA,0,55.200001
1,0.4,0.6,1,6.4,NA,0.8,0,34.799999,NA,NA,1,66.5
1,0.25,0.5,1,6.4,NA,0.833333,0.166667,36.400002,2.771937,57,0,65.800003
0.6,0.3,1,1,7.8,NA,0.8,0,32.200001,NA,NA,1,65.25
0.5,0.3,0.5,0.6,12.666667,33,0.333333,0,19.666666,NA,NA,0,53
0.8,0.5,0.9,1,5.8,NA,0.8,0,37.599998,NA,NA,0.75,54.5
0.9,0.35,1,1,5,NA,1,0,37,NA,NA,1,63.400002
0.9,0.3,1,1,7,NA,0.8,0,30.799999,NA,NA,1,56
1,0.3,0.6,1,5.6,NA,0.833333,0.166667,36.599998,1.369084,57,1,60
0.8,0.4,0.9,1,5.8,NA,1,0,36.400002,NA,NA,1,55.799999
0.5,0.4,0.6,0.4,12.5,30.333334,0.5,0,22.5,NA,NA,1,55
1,0.25,0.7,1,6.6,NA,0.8,0,31.4,NA,NA,1,63.25
0.9,0.45,0.5,1,7.4,NA,1,0,32.200001,NA,NA,0,55.200001
0.5,0.25,0.5,0.6,9.666667,77.5,0.666667,0,26,NA,NA,0,58.5
0.5,0.4,0.9,0.2,12,32.25,1,0,22,NA,NA,1,53
0.7,0.35,0.8,1,7.8,NA,1,0,28.6,NA,NA,0.8,61.200001
0.5,0.3,1,0,NA,42,NA,NA,NA,NA,NA,NA,NA
1,0.45,0.6,1,5.8,NA,0.8,0,36,NA,NA,0.75,59.25
0.8,0.5,0.8,1,6.2,NA,0.6,0,40.200001,NA,NA,1,53.333332
0.6,0.35,0.6,1,6,NA,0.5,0.166667,40.599998,2.778885,58,1,61.666668
0.8,0.25,0.7,1,6,NA,0.666667,0.166667,36,2.841093,56,1,64.5
0.5,0.35,0.8,0.6,12,45,0.333333,0,26.333334,NA,NA,1,84
0.5,0.25,0.8,0.2,12,36,0,0,18,NA,NA,NA,NA
0.8,0.25,0.8,1,7.2,NA,0.8,0,27,NA,NA,1,62
1,0.35,0.7,1,5.2,NA,1,0,36.599998,NA,NA,1,57.200001
0.8,0.5,0.6,1,5.2,NA,1,0,33.599998,NA,NA,1,57.799999
0.7,0.35,0.5,1,8.4,NA,0.6,0,25.4,NA,NA,0.333333,52.333332
0.6,0.35,1,1,7.8,NA,0.833333,0.166667,30.6,1.775964,57,1,52.799999
0.7,0.4,0.9,0,NA,92.666664,NA,NA,NA,NA,NA,NA,NA
0.8,0.45,0.9,1,5.2,NA,0.8,0,30.799999,NA,NA,1,53.25
0.6,0.45,0.7,1,7.8,NA,0.8,0,29.799999,NA,NA,1,54.25
1,0.35,1,1,6,NA,0.8,0,36.599998,NA,NA,1,59.5
0.6,0.3,0.8,1,6.4,NA,0.666667,0.166667,27.4,2.865733,57,1,58
