file:csv_files/outcome_0.6_0.4_0.9.csv,,p1:1.00,,T1:134.60,,T1F:NoData,,p2:0.80,,p3:0.10,,T2:28.56,,TR:NoData,,T2F:55.00,,p4:1.00,,T3:57.12,,
file:csv_files/outcome_1.0_0.5_1.0.csv,,p1:1.00,,T1:153.60,,T1F:NoData,,p2:0.30,,p3:0.00,,T2:9.70,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:50.67,,
file:csv_files/outcome_0.5_0.3_0.6.csv,,p1:0.80,,T1:117.00,,T1F:349.50,,p2:0.36,,p3:0.64,,T2:33.40,,TR:83.67,,T2F:59.89,,p4:1.00,,T3:52.40,,
file:csv_files/outcome_0.8_0.4_0.6.csv,,p1:1.00,,T1:134.30,,T1F:NoData,,p2:0.64,,p3:0.36,,T2:33.00,,TR:57.75,,T2F:61.40,,p4:0.89,,T3:52.62,,
file:csv_files/outcome_0.5_0.25_0.6.csv,,p1:1.00,,T1:193.60,,T1F:NoData,,p2:0.64,,p3:0.27,,T2:31.75,,TR:35.00,,T2F:57.00,,p4:0.86,,T3:51.00,,
file:csv_files/outcome_0.5_0.35_0.6.csv,,p1:0.90,,T1:211.00,,T1F:360.00,,p2:0.89,,p3:0.00,,T2:28.11,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:54.25,,
file:csv_files/outcome_0.5_0.35_0.7.csv,,p1:0.90,,T1:153.00,,T1F:360.00,,p2:0.89,,p3:0.11,,T2:32.88,,TR:NoData,,T2F:62.00,,p4:0.88,,T3:51.29,,
file:csv_files/outcome_0.5_0.25_0.7.csv,,p1:0.80,,T1:208.38,,T1F:360.00,,p2:0.75,,p3:0.12,,T2:28.57,,TR:NoData,,T2F:58.00,,p4:1.00,,T3:70.00,,
file:csv_files/outcome_0.8_0.25_1.0.csv,,p1:1.00,,T1:152.50,,T1F:NoData,,p2:0.50,,p3:0.50,,T2:31.14,,TR:84.25,,T2F:59.00,,p4:1.00,,T3:59.43,,
file:csv_files/outcome_0.8_0.35_1.0.csv,,p1:1.00,,T1:142.50,,T1F:NoData,,p2:0.60,,p3:0.00,,T2:20.30,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:56.83,,
file:csv_files/outcome_0.8_0.4_0.7.csv,,p1:1.00,,T1:104.90,,T1F:NoData,,p2:0.90,,p3:0.10,,T2:32.89,,TR:NoData,,T2F:59.00,,p4:1.00,,T3:47.00,,
file:csv_files/outcome_0.5_0.3_0.7.csv,,p1:0.80,,T1:95.38,,T1F:360.00,,p2:0.78,,p3:0.22,,T2:36.14,,TR:17.00,,T2F:60.50,,p4:1.00,,T3:51.71,,
file:csv_files/outcome_0.6_0.4_0.8.csv,,p1:1.00,,T1:167.00,,T1F:NoData,,p2:0.54,,p3:0.31,,T2:24.33,,TR:74.67,,T2F:60.00,,p4:1.00,,T3:54.00,,
file:csv_files/outcome_0.8_0.45_0.5.csv,,p1:1.00,,T1:83.70,,T1F:NoData,,p2:0.90,,p3:0.00,,T2:34.40,,TR:NoData,,T2F:NoData,,p4:0.11,,T3:67.00,,
file:csv_files/outcome_0.6_0.3_1.0.csv,,p1:1.00,,T1:131.80,,T1F:NoData,,p2:0.80,,p3:0.00,,T2:26.00,,TR:NoData,,T2F:NoData,,p4:0.88,,T3:51.57,,
